Name,Description,Notes,Area,Cost per Hour
"Minters, Level 19, Zone  2, South Tower AHAC",,"level:19, tenant:Minters, zone:2",292.1,35
"Minters, Level 19, Zone  3, South Tower AHAC",,"level:19, tenant:Minters, zone:3",292.1,35
"Level 19, Zone  4, South Tower AHAC",,"level:19, tenant:, zone:4",0,35
"Minters, Level 20, Zone  1, South Tower AHAC",,"level:20, tenant:Minters, zone:1",292.1,35
"Minters, Level 20, Zone  2, South Tower AHAC",,"level:20, tenant:Minters, zone:2",292.1,35
"Minters, Level 20, Zone  3, South Tower AHAC",,"level:20, tenant:Minters, zone:3",292.1,35
"Level 20, Zone  4, South Tower AHAC",,"level:20, tenant:, zone:4",0,35
"Minters, Level 21, Zone  1, South Tower AHAC",,"level:21, tenant:Minters, zone:1",292.1,35
"Minters, Level 21, Zone  2, South Tower AHAC",,"level:21, tenant:Minters, zone:2",292.1,35
"Minters, Level 21, Zone  3, South Tower AHAC",,"level:21, tenant:Minters, zone:3",292.1,35
"Level 21, Zone  4, South Tower AHAC",,"level:21, tenant:, zone:4",0,35
"Minters, Level 22, Zone  1, South Tower AHAC",,"level:22, tenant:Minters, zone:1",292.1,35
"Minters, Level 22, Zone  2, South Tower AHAC",,"level:22, tenant:Minters, zone:2",292.1,35
"Minters, Level 22, Zone  3, South Tower AHAC",,"level:22, tenant:Minters, zone:3",292.1,35
"Level 22, Zone  4, South Tower AHAC",,"level:22, tenant:, zone:4",0,35
"Minters, Level 23, Zone  1, South Tower AHAC",,"level:23, tenant:Minters, zone:1",291.3,35
"Minters, Level 23, Zone  2, South Tower AHAC",,"level:23, tenant:Minters, zone:2",291.3,35
"Minters, Level 23, Zone  3, South Tower AHAC",,"level:23, tenant:Minters, zone:3",291.3,35
"Level 23, Zone  4, South Tower AHAC",,"level:23, tenant:, zone:4",0,35
"Middletons, Level 24, Zone  1, South Tower AHAC",,"level:24, tenant:Middletons, zone:1",281.1,35
"Middletons, Level 24, Zone  2, South Tower AHAC",,"level:24, tenant:Middletons, zone:2",281.1,35
"Middletons, Level 24, Zone  3, South Tower AHAC",,"level:24, tenant:Middletons, zone:3",281.1,35
"Level 24, Zone  4, South Tower AHAC",,"level:24, tenant:, zone:4",0,35
"Middletons, Level 25, Zone  1, South Tower AHAC",,"level:25, tenant:Middletons, zone:1",287.8,35
"Middletons, Level 25, Zone  2, South Tower AHAC",,"level:25, tenant:Middletons, zone:2",287.8,35
"Middletons, Level 25, Zone  3, South Tower AHAC",,"level:25, tenant:Middletons, zone:3",287.8,35
"Level 25, Zone  4, South Tower AHAC",,"level:25, tenant:, zone:4",0,35
